iter	Passed	Remaining
0	0	89
1	1	87
2	2	84
3	3	76
4	4	76
5	4	75
6	5	74
7	6	73
8	7	72
9	7	71
10	8	71
11	9	71
12	10	72
13	11	72
14	12	72
15	13	71
16	14	71
17	15	70
18	16	69
19	17	68
20	18	68
21	19	68
22	20	67
23	21	66
24	22	66
25	22	65
26	23	64
27	25	64
28	26	63
29	27	63
30	28	62
31	29	61
32	29	60
33	30	60
34	31	58
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	36	52
41	37	51
42	38	50
43	39	49
44	39	48
45	41	48
46	42	47
47	43	46
48	44	46
49	46	46
50	47	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
