iter	Passed	Remaining
0	143	142872
1	143	71752
2	144	48066
3	145	36219
4	146	29110
5	147	24369
6	148	21054
7	149	18548
8	150	16560
9	151	14959
10	151	13655
11	152	12581
12	153	11678
13	154	10888
14	155	10199
15	156	9599
16	156	9071
17	157	8604
18	158	8186
19	159	7809
20	160	7467
21	161	7158
22	162	6886
23	163	6631
24	163	6391
25	164	6171
26	165	5968
27	166	5776
28	167	5598
29	168	5439
30	169	5291
31	170	5151
32	171	5015
33	171	4885
34	172	4765
35	173	4654
36	174	4545
37	176	4458
38	177	4365
39	178	4277
40	179	4192
41	180	4111
42	181	4034
43	182	3971
44	183	3903
45	184	3832
46	185	3764
47	186	3700
48	187	3635
49	188	3576
50	189	3522
51	190	3470
52	191	3417
53	192	3368
54	193	3319
55	194	3271
56	194	3223
57	195	3176
58	196	3135
59	197	3093
60	198	3051
61	198	3010
62	199	2971
63	200	2934
64	201	2898
65	202	2864
66	203	2833
67	204	2803
68	205	2770
69	206	2738
70	206	2707
71	207	2678
72	208	2648
73	209	2619
74	210	2591
75	210	2565
76	211	2540
77	212	2514
78	213	2490
79	214	2465
80	215	2441
81	216	2418
82	216	2391
83	217	2368
84	218	2348
85	219	2329
86	220	2313
87	221	2296
88	222	2281
89	223	2262
90	224	2243
91	225	2225
92	226	2207
93	227	2191
94	228	2173
95	229	2157
96	229	2139
97	230	2122
98	231	2105
99	232	2089
100	233	2075
101	234	2060
102	234	2046
103	235	2031
104	236	2015
105	237	2001
106	238	1987
107	238	1972
108	239	1957
109	240	1944
110	241	1931
111	241	1917
112	242	1904
113	243	1891
114	244	1878
115	244	1865
116	245	1852
117	246	1840
118	247	1828
119	247	1817
120	249	1810
121	249	1798
122	250	1789
123	251	1780
124	252	1768
125	253	1758
126	254	1747
127	255	1737
128	256	1728
129	256	1718
130	257	1708
131	258	1698
132	259	1689
133	259	1679
134	260	1669
135	261	1660
136	262	1650
137	262	1641
138	263	1633
139	264	1627
140	266	1621
141	266	1611
142	267	1603
143	268	1594
144	269	1586
145	269	1578
146	270	1569
147	271	1562
148	272	1555
149	273	1547
150	273	1540
151	274	1532
152	275	1526
153	276	1519
154	277	1512
155	278	1505
156	279	1498
157	279	1491
158	280	1484
159	281	1479
160	282	1472
161	283	1466
162	284	1458
163	284	1452
164	285	1446
165	286	1440
166	287	1434
167	288	1428
168	289	1421
169	289	1415
170	290	1409
171	291	1402
172	292	1396
173	292	1390
174	294	1387
175	295	1383
176	296	1377
177	297	1373
178	298	1368
179	299	1362
180	299	1356
181	300	1351
182	301	1347
183	302	1342
184	303	1336
185	304	1331
186	305	1326
187	305	1321
188	306	1316
189	307	1311
190	308	1306
191	309	1304
192	310	1299
193	311	1295
194	312	1290
195	313	1287
196	314	1283
197	315	1279
198	316	1274
199	317	1270
200	318	1265
201	319	1260
202	320	1256
203	320	1251
204	321	1246
205	322	1242
206	323	1237
207	324	1235
208	326	1234
209	326	1230
210	327	1226
211	328	1221
212	329	1217
213	330	1213
214	331	1209
215	332	1205
216	332	1201
217	333	1197
218	334	1193
219	335	1189
220	336	1185
221	337	1181
222	337	1177
223	338	1173
224	340	1171
225	341	1167
226	341	1164
227	342	1160
228	343	1157
229	344	1153
230	345	1149
231	346	1145
232	347	1142
233	348	1141
234	349	1137
235	350	1133
236	351	1130
237	351	1126
238	352	1122
239	353	1119
240	354	1115
241	355	1113
242	356	1110
243	357	1107
244	358	1104
245	359	1100
246	360	1097
247	360	1094
248	361	1091
249	362	1087
250	363	1084
251	364	1081
252	365	1077
253	365	1074
254	366	1071
255	367	1067
256	368	1064
257	369	1062
258	370	1059
259	371	1056
260	371	1052
261	372	1049
262	373	1046
263	374	1043
264	375	1040
265	375	1037
266	376	1034
267	377	1031
268	378	1028
269	379	1025
270	380	1022
271	380	1019
272	381	1016
273	382	1013
274	383	1011
275	385	1009
276	385	1007
277	387	1005
278	387	1002
279	388	999
280	389	996
281	390	993
282	391	991
283	392	988
284	393	986
285	394	984
286	394	981
287	395	978
288	396	975
289	397	973
290	398	970
291	399	968
292	400	965
293	401	963
294	402	961
295	403	958
296	403	956
297	404	953
298	405	951
299	406	948
300	407	946
301	408	943
302	409	941
303	410	939
304	411	936
305	412	934
306	412	932
307	413	929
308	414	927
309	415	924
310	416	922
311	417	920
312	418	917
313	419	915
314	420	913
315	420	911
316	422	909
317	423	907
318	424	905
319	425	903
320	425	900
321	426	898
322	427	895
323	428	893
324	429	891
325	430	889
326	431	887
327	432	886
328	433	883
329	434	881
330	434	879
331	435	876
332	436	874
333	437	872
334	438	870
335	439	868
336	440	866
337	441	864
338	442	861
339	442	859
340	443	857
341	445	856
342	446	854
343	447	853
344	448	851
345	449	849
346	450	847
347	451	845
348	452	843
349	453	841
350	453	839
351	454	837
352	455	835
353	456	833
354	457	831
355	458	829
356	459	827
357	460	825
358	460	823
359	461	821
360	462	819
361	463	817
362	464	815
363	465	813
364	466	811
365	467	809
366	468	807
367	469	805
368	469	803
369	470	801
370	471	799
371	472	797
372	473	795
373	474	793
374	475	792
375	476	790
376	477	788
377	478	786
378	478	784
379	479	782
380	480	780
381	481	778
382	482	776
383	482	774
384	483	772
385	484	770
386	485	769
387	486	767
388	487	765
389	488	763
390	488	761
391	489	759
392	491	759
393	492	757
394	493	755
395	494	753
396	495	752
397	496	751
398	497	749
399	498	747
400	499	745
401	500	743
402	501	742
403	502	740
404	502	738
405	503	737
406	504	735
407	505	733
408	506	732
409	507	730
410	508	729
411	509	727
412	510	725
413	511	724
414	512	722
415	513	720
416	514	719
417	515	717
418	516	715
419	516	713
420	517	712
421	518	710
422	519	708
423	520	707
424	521	705
425	522	704
426	523	702
427	524	700
428	525	699
429	526	697
430	527	695
431	527	694
432	528	692
433	529	690
434	530	688
435	531	687
436	532	685
437	532	683
438	533	681
439	534	680
440	535	678
441	536	676
442	537	675
443	538	673
444	539	672
445	540	670
446	541	669
447	542	667
448	542	666
449	543	664
450	544	662
451	544	660
452	545	659
453	546	657
454	547	655
455	548	654
456	549	652
457	550	651
458	551	649
459	552	648
460	553	646
461	553	644
462	554	643
463	555	641
464	556	640
465	557	639
466	558	637
467	559	635
468	560	634
469	560	632
470	561	630
471	562	629
472	563	628
473	564	626
474	565	624
475	566	623
476	567	622
477	568	620
478	569	619
479	570	618
480	571	616
481	572	614
482	572	613
483	573	611
484	574	610
485	575	608
486	576	607
487	577	605
488	578	604
489	579	602
490	580	601
491	581	600
492	582	598
493	582	597
494	583	595
495	584	593
496	585	592
497	586	590
498	587	589
499	587	587
500	588	586
501	589	584
502	590	583
503	591	581
504	592	580
505	593	579
506	593	577
507	594	576
508	595	574
509	596	573
510	597	571
511	598	570
512	600	569
513	600	568
514	602	567
515	603	565
516	603	564
517	604	562
518	605	561
519	606	559
520	607	558
521	607	556
522	608	555
523	609	553
524	610	552
525	611	551
526	613	550
527	614	549
528	615	547
529	616	546
530	617	545
531	618	543
532	619	542
533	620	541
534	621	539
535	621	538
536	622	536
537	623	535
538	624	534
539	625	532
540	626	531
541	627	530
542	628	528
543	629	527
544	630	525
545	631	524
546	631	523
547	632	521
548	633	520
549	634	519
550	635	517
551	636	516
552	637	515
553	638	513
554	638	512
555	639	510
556	640	509
557	641	508
558	642	506
559	643	505
560	644	504
561	645	502
562	645	501
563	646	499
564	647	498
565	648	497
566	650	496
567	650	495
568	651	493
569	652	492
570	653	490
571	654	489
572	654	488
573	655	486
574	656	485
575	657	484
576	658	482
577	659	481
578	660	480
579	661	478
580	662	477
581	663	476
582	663	474
583	664	473
584	665	471
585	666	470
586	666	469
587	667	467
588	668	466
589	669	465
590	670	463
591	670	462
592	671	460
593	672	459
594	673	458
595	674	457
596	675	455
597	676	454
598	677	453
599	678	452
600	679	450
601	680	449
602	681	448
603	681	447
604	682	445
605	683	444
606	684	443
607	685	442
608	686	440
609	687	439
610	689	438
611	690	437
612	691	436
613	692	435
614	693	434
615	694	432
616	695	431
617	695	430
618	696	428
619	697	427
620	698	426
621	699	424
622	700	423
623	700	422
624	701	421
625	702	419
626	703	418
627	704	417
628	705	415
629	706	414
630	706	413
631	708	412
632	709	411
633	710	409
634	710	408
635	711	407
636	712	406
637	713	404
638	713	403
639	714	402
640	715	400
641	716	399
642	716	397
643	717	396
644	718	395
645	719	394
646	720	392
647	721	391
648	722	390
649	723	389
650	723	388
651	724	386
652	725	385
653	726	384
654	726	382
655	727	381
656	728	380
657	729	379
658	730	377
659	730	376
660	731	375
661	732	374
662	733	373
663	735	372
664	736	370
665	737	369
666	738	368
667	738	367
668	739	366
669	740	364
670	741	363
671	742	362
672	743	361
673	744	360
674	745	358
675	746	357
